259	411	take out	hand	cutting board	counter,drawer		The person takes out a cutting board from the drawer.				The woman removes a cutting board from the drawer and places it on the counter.	The person takes out a cutting board from the drawer.	The person selects a cutting board.			She gets a cutting board.	The person gets out a cutting board.	The person gets out a cutting board.			She took out cutting board	
3081	3117	cut	knife	avocado	cutting board				She removes the skin.			The person peels the avocado with her hands.										
3146	3184	take apart	hand	avocado																The person cuts the avocado half containing the pit in half again, lengthwise.		
3204	3314	take apart	hand	avocado,stone		The person then slices the half with the pit into two quarters to make it easier to remove the pit.		She cuts the remaining avocado meat in half and removes the pit from the halves.	She removes the pit.	She cuts the avocado halve with the seed in half.	She cuts one of the halves in half to remove the avocado pit.	The person cuts out the seed and throws it and the peels into the trash.	One half is cut in half and the seed is removed.	She removes the pit and then discards both the skin and the pit. 	Proceed to use your knife to quarter the part of the avocado that still contains the pit, so do this for easy removal of the large hard pit.	She discards the pit and the skins. 		The person cuts the half of the avocado with the pit into quarters and removes the pit.	The person has removed the peel and the pit from the avocado flesh.	The person uses hands to remove the pit from the avocado.	She took out pit	
3395	3539	throw in garbage	hand	peel,stone		She then discards the rind and the pit in the waste basket.	The person removes the pit from the second half and then disposes of it and the peels into the trash.	She discards the skin and pit.	She discards the waste.	She throws away the seed and peels in the trash. 	She places the avocado pit and the skin peelings in the recycling bin.		The scraps are discarded.	After discarding she washes her hands. 			The person removes the pit and throws it and the peel away.	The person throws away the pit and peel.	The person had thrown the peel and pit into the garbage.		She threw away scraps	She removes the pit and discards it. 
3573	3779	wash	hand	hand		Next she washes and dries her hands.															She washed hands	
3827	3884	dry	towel	hand			The person washes her hands and dries them on a towel.			She quickly washes and dries her hands in the sink.	She rinses her hands in the sink and dries them on a towel.		The person rinses and dries their hands.		Clean your workstation and your hands.		The person washes her hands.	The person washes her hands.	The person has washed and dried their hands.	The person throws away the outer peel and washes hands.		
3976	4005	cut	knife	avocado	cutting board																	
4067	4093	cut	knife	avocado	cutting board	The person then removes dark spots from the avocado flesh by using the knife to slice them off.		She removes the bad parts of the avocado meat with her knife.												The person uses the knife to remove bruised or damaged areas from the peeled avocado.		
4176	4382	slice	knife	avocado	cutting board					Next, she takes the other avocado halve and cuts it in slices. 												
4444	4533	slice	knife	avocado	cutting board																	
4687	4839	slice	knife	avocado	cutting board		The person slices the avocado length wise.	She slices the avocado into thin strips for serving.		She takes the remaining pieces and cuts them in slices. 	She slices the avocado pieces lengthwise into strips.		The avocado pieces are trimmed and sliced.		Use your knife to remove an brown spots and to 1/4 inch thick slices. Be sure to slice your avocado the long way.	She slices the avocado. 	The person cuts the avocado into slices.	The person slices up the avocado.	The person has sliced the avocado into thin strips lengthwise.	The person uses the knife to cut the avocado into long thin slices.	She sliced avocado	
4946	5054	throw in garbage	cutting board,knife	garbage		Last, she slices each piece of avocado lengthwise into slices approximately one-eighth inch thick, ending up with 10-12 total slices.			She chops the avocado. 			The person slices the avocado lengthwise and disposes of a piece of peel into the garbage.	The avocado is ready.	Finally, she cuts the avocado into thin slices. 					The person had thrown avocado scraps into the garbage.. The person has placed the cutting board, knife and cut avocado on the countertop.		She threw away pieces	She chops the avocado. 
