207	317	take out	hand	cutting board	counter,drawer		The person takes out a cutting board from the drawer.	The person takes out a cutting board from the drawer.	He took out cutting board	He took out cutting board		He took out cutting board			He gets a cutting board.	The person takes out a cutting board from the drawer.		The person takes out a cutting board from the drawer.				He took out cutting board		He took out cutting board	The person takes out a cutting board from the drawer.
9994	10096	put rubber band	hand	rubber band	paper bag																				
10096	10253	put in	hand	paper bag	,cupboard		The person adds one condiment to the frying pan and then returns its package to the pantry.									The person takes a spoon from the drawer and adds some condiments to the pan, then returns the condiment to the pantry.		The person takes a spoon from the drawer which he uses to scoop a condiment into the pan before returning the condiment to the pantry,							
10316	10349	change temperature	hand	stove							Add desired seasonings.														
10371	10502	shake	hand	pan																					
10760	10888	move	hand	spatula	counter,stove														The person gets out a spoon, adds the spice and cooks some more.	The person adds one of the spices, and cooks the beans some more.					
10908	11174	put in	hand	teaspoon	counter,dish washer																		The person adds spices to the green beans in the skillet.		
11195	11299	wash	hand	knife																					
11299	11333	shake	hand	knife				The person washes the knife in the sink.										 The person puts the spoon in the dishwasher, then washes the knife in the sink.							
11457	11601	put in	hand	cutting board	counter,drawer	The man straighten up while he waits for the beans to cook.	The person returns the cutting board to the drawer.	The person returns the cutting board to the drawer.								The person puts the spoon in the dishwasher, washes the knife in the sink, then returns the cutting board to the drawer.		The person returns the cutting board to the drawer. 	The person puts the spoon in the dishwasher, rinses the knife and puts away the cutting board.	The person rinses the knife and puts away the cutting board.			The person rinses the knife and the cutting board, then puts them away.		The person adds some condiments to the frying pan, stirs them and then returns the cutting board to the drawer. 
11627	11787	flip	pan	beans	pan										He mixes around the beans.										
11788	11847	smell		beans	pan																				
11905	11938	screw	hand	spice shaker							While beans are cooking, clean your mess.														
11945	12249	spice	spice shaker	salt	pan																				
12253	12270	screw	hand	spice shaker																					
12295	12346	screw	hand	spice shaker											He puts pepper on the beans.										
12352	12625	spice	spice shaker	pepper	pan																				
12625	12684	screw	hand	spice shaker									The person seasons the sweet peas with salt and pepper and stirs them.								He cooks them further and puts salt and pepper on top.				
12720	12835	change temperature	hand	stove		The man seasons the broad beans.																			
12841	12926	shake	pan	beans	pan																				
12926	13027	flip	pan	beans	pan			The person adds condiments to the frying pan and stirs it.			Occasionally, move beans around to avoid burning.														
13077	13660	stir	spatula	beans	pan																				
13680	13748	change temperature	hand	stove															The person adds salt and pepper and cooks some more.	The person adds the other spices and keeps cooking.			The person adds salt and pepper to the beans and stirs them with the wooden spoon.		
13850	13940	take out	hand	fork	counter,drawer																				
13940	13967	close	hand		drawer																				
13990	14288	take out	hand	plate	counter,cupboard		The person takes out a fork from the drawer and then procures a plate from the cabinet.	The person procures a plate from the cabinet.			Get your plate and fork ready.					The person adds some condiments to the pan, then removes a fork from the drawer and a plate from the cabinet.		The person sprinkles condiments into the pan, then takes a fork from the drawer and a plate from the cabinet.	The person gets out a fork and a plate.	The person gets out a fork and a plate.					The person stirs other condiments into the frying beans and then procures a plate from the cabinet.
14337	14671	stir	spatula	beans	pan																				
14751	14793	shake	hand	fork																					
14831	15002	taste	fork	beans											He tries the beans.						He got a fork out and tasted one of hte beans.		The person gets a plate and fork ready, then uses the fork to pick up a bean and taste it to test the tenderness and flavor.		
15048	15077	screw	hand	spice shaker																					
15083	15506	spice	spice shaker	salt	pan																				
15512	15592	screw	hand	spice shaker									The person taste tests the sweet peas and adjust their flavor by seasoning them more with salt and pepper.												
15620	16174	stir	spatula	beans	pan	The man continues to stir the beans as they cook.																			
16264	16329	shake	hand	fork																	He cooks the beans more and tastes them.				
16449	16659	taste	fork	beans																					
16750	16789	screw	hand	spice shaker																					
16804	16939	spice	spice shaker	pepper	pan																				
16950	17044	screw	hand	spice shaker																					
17075	17325	stir	spatula	beans	pan																				
17342	17398	shake	pan	beans	pan																				
17398	17542	flip	pan	beans	pan																				
17542	17661	smell		beans	pan																				
17721	17806	shake	hand	fork																					
17844	17921	taste	fork	beans																					
18225	18292	screw	hand	spice shaker																					
18289	18413	spice	spice shaker	salt	pan																				
18414	18471	screw	hand	spice shaker																					
18475	18608	put in	hand	spice shaker	counter,spice holder														The person cooks some more, occasionally tasting the beans and adding salt and pepper.				The person continues to cook the beans, tasting it again and adding spices as needed.		
18713	18793	change temperature	hand	stove											He puts the beans on the plate.		He cooks the beans while doing other assorted tasks.			The person keeps cooking, occasionally tasting the beans and adding more spices (salt and pepper, I think).	He cooks them further and puts the salt and pepper away.				
18917	19520	move	spatula	beans	pan,plate	The man places the beans onto a plate.	The person uses the wooden spoon to scoop the fried beans onto the plate.				Once at desired tenderness, plate up and eat.		The person tastes the sweet peas again, seasons once more and then places the sweet peas into a plate for consumption.	Fry and season the beans, tossing them regularly.		The person sets the fried beans on the plate.	He places the beans on a plate.	The person adds more condiments, stirs the pan with the wooden spatula, then uses it to scoop the fried beans onto the plate.	The person puts the cooked beans on the plate.	The person scoops the beans onto the plate.	He pushes then onto a plate.		The person turns off the burner and uses the wooden spoon to slide the beans onto the plate.		The person sets the fried broad beans on the plate.
