145	448	take out	hand	pineapple	counter,cupboard	The woman got the pineapple out of the cupboard.	A pineapple is removed from the cabinet.			She gets a pineapple. 	She gets a pineapple.	The person gets out a pineapple.	The person takes out a pineapple.	The person removes a pineapple from the cabinet.		The person gets out a pineapple.	She took out pineapple	The person gets out a pineapple.	The person gets out a pineapple.		The person procures a pineapple from the pantry.	She took out pineapple	She grabs the pineapple out of the cabinet and places it on the counter.
4523	4592	peel	knife	pineapple	cutting board																		
4597	4614	add	hand	peel	knife,plastic box																		
4699	4732	peel	knife	pineapple	cutting board																		
4737	4754	add	hand	peel	knife,plastic box																		
4754	4789	peel	knife	pineapple	cutting board																		
4794	4825	add	hand	peel	knife,plastic box																		
4833	4883	peel	knife	pineapple	cutting board																		
4889	4902	add	hand	peel	knife,plastic box																		
4924	4982	peel	knife	pineapple	cutting board																		
4987	5004	add	hand	peel	knife,plastic box																		
5010	5068	peel	knife	pineapple	cutting board																		
5072	5085	add	hand	peel	knife,plastic box																		
5087	5124	peel	knife	pineapple	cutting board																		
5129	5143	add	hand	peel	knife,plastic box																		
5151	5204	peel	knife	pineapple	cutting board																		
5209	5268	add	knife	peel	knife,plastic box																		
5315	5361	peel	knife	pineapple	cutting board																		
5365	5378	add	hand	peel	knife,plastic box																		
5385	5429	peel	knife	pineapple	cutting board																		
5434	5451	add	hand	peel	knife,plastic box																		
5454	5523	peel	knife	pineapple	cutting board																		
5528	5547	add	hand	peel	knife,plastic box																		
5553	5594	peel	knife	pineapple	cutting board																		
5599	5629	add	hand	peel	knife,plastic box																		
5636	5703	peel	knife	pineapple	cutting board																		
5709	5726	add	hand	peel	knife,plastic box																		
5738	5793	peel	knife	pineapple	cutting board																		
5797	5833	add	hand	peel	knife,plastic box																		
5862	5914	peel	knife	pineapple	cutting board																		
5919	5944	add	hand	peel	knife,plastic box																		
5950	5985	peel	knife	pineapple	cutting board																		
5990	6002	add	hand	peel	knife,plastic box																		
6005	6043	add	hand	peel	bowl,cutting board																		
6070	6115	peel	knife	pineapple	cutting board																		
6121	6145	add	hand	peel	knife,plastic box	The woman cut off all the hard spots on the pineapple.	Trimming and cleaning is done on the pineapple.	She cuts away the last bits of skin.			She cuts the skin off the pineapple. 		Using the small knife, the person picks out all of the small pieces of skin embedded in the pineapple.							The woman removes all of the small hard pits from the outside of the pineapple.			
6221	6329	move	hand	peel	counter,cutting board					She removes the skin of the pineapple. 					Slice off excess skin using a small knife.	The person cuts off the outside of the pineapple and puts it in the Tupperware container.					The person carefully scrapes off the small bits of peel left with the small knife and places these bits into the plastic tub.		She cleans up the rest of the pineapple with the small knife, and puts the little pieces in the plastic container.
6433	6503	add	hand	peel	cutting board,plastic box				Use the small knife to trim off any unwanted parts from the pineapple and place these parts and the peel in the plastic container.			The person cuts off the outside of the pineapple and puts it in the Tupperware container.						The person cuts off the outside of the pineapple and puts it in the Tupperware container.					
6532	6579	wash	hand	hand			The person rinsed their hands.							The person uses the small knife to remove the pineapple rind making sure to get all of it.						The woman quickly rinses her hands.			
6582	6617	shake	hand	hand					Wash off your hands.					The person rinses her hands in the sink				The person washes his hands.	The person cuts the outside of the pineapple off and puts it in the Tupperware container.		The person rinses her hands off under the faucet.	She washed hands	She cleans off her cutting board, and then washes her hands in the sink.
6717	6788	wash	hand	knife																			
6788	6809	shake	hand	knife			The person rinsed the knife.											The person rinses a knife.				She washed knife	She rinses off her knife before cutting the pineapple.
6832	7752	slice	knife	pineapple	cutting board	The woman cut the pineapple in slices.	The pineapple is sliced into rounds.		Lay the pineapple on its side, rinse off the large knife and use it to slice the pineapple into 1/2 inch thick disks.	She slices the pineapple. 	She slices the pineapple.		The person lays the pineapple on its side and uses the big knife to cut the pineapple width-wise into circle shapes	The person rinses the large knife and then uses it to slice the pineapple.						With the large knife the woman cut the pineapple into slices.			She slices the pineapple and sets her knife on the cutting board.
7789	7876	add	hand	pineapple	bowl,cutting board		The rounds are placed in the bowl.			She puts the slices in a bowl. 	She puts the slices in a bowl.			The person places the slices in the metal bowl.	Use a large knife to slice the pineapple into circular slices.						The person carefully slices the pineapple into thin sections and places them into the bowl.	She sliced pineapple	She puts the sliced pineapple in the metal bowl and trims the bottom piece to get the rest of the pineapple.
7929	8185	cut	knife	pineapple	cutting board																		
8191	8218	add	hand	pineapple	cutting board,plastic box		To end piece is trimmed and the core discarded in the container.																She places the bottom part of the pineapple in the plastic container.
8229	8348	add	hand	pineapple	bowl,cutting board	The woman put the pineapple in a stainless steel bowl.		She slices the fruit and puts it in a bowl. 		She puts the last bit of pineapple in the bowl. 		The person cuts the pineapple into slices and puts them in the bowl.	The person is done.	The person trims the bottom of the pineapple putting the fruit in the metal bowl and placing the remaining rind in the plastic bowl.	Slice any excess pieces of fruit from the skin and place everything in the bowl.	The person cuts the pineapple into slices and puts them in the bowl.		The person cuts the pineapple into slices and puts the slices in the bowl.	The person cuts the pineapple into slices and puts them in the bowl.	The woman places the slices into a bowl.	The person chops up a small section of pineapple and places it into the bowl.		
8403	8648	wash	hand	knife		The woman rinsed off the knives.	The knives are washed.					The person rinses the knives.		The person rinses the two knives.	Rinse off your knives and dispose of your waste.	The person rinses the knives.		The person rinses both knives.	The person rinses the knives.	The woman cleans the knifes.	The person rinses the knives in the sink.	She washed knife	She rinses off her knives and proceeds to throw away what's in the plastic container.
8653	9154	throw in garbage	hand,plastic box	peel,pineapple			The scrap container is emptied into the trash.		Put the pineapple in the large bowl, wash off the knives, and discard the peel and unwanted pineapple parts.	She discards the rest of the pineapple. 				The person discards the contents of the plastic bowl.		The person throws away the trash.		The person throws away the trash.	The person throws away the trash.	The woman throws away the pineapple crown, and peelings.	The person disposes of the fronds and peels from the plastic tub into the wastebin.	She threw away scraps	
9166	9248	wash	hand	plastic box		The woman put the pineapple scraps in a garbage bin and then rinsed out the container.		She cleans up.			She discards the rest of the pineapple. 	The person throws away the trash.		The person rinses the plastic bowl.							The person rinses the plastic tub in the sink.		She rinses out her plastic container.
