192	282	take out	hand	cutting board	counter,drawer				He took out cutting board		The person takes out a cutting board from the drawer.		He took out cutting board				He took out cutting board	How to prepare leeks.. The person takes out a cutting board.	He took out cutting board		He took out cutting board			He took out cutting board	
9108	9574	add	knife	leek	cutting board,pan	He adds the leeks to the pan.	Placing a skillet on the stove with a small amount of butter, the person allows the butter to partially melt and then adds the leek. 	The person added the leeks to the melted butter in the pan		The person places the chopped pieces of the leek in the pan with the melted butter.	The person adds the leeks to the frying pan.	He adds the leeks to the pan. 		He adds the leeks to the pan.	He adds the leeks to the pan.	He adds the leeks to the pan.		The person allows the butter to melt then adds the leeks to the skillet.		The man adds the leeks into the pan.			The person adds the sliced leeks to the frying pan after the butter has melted and covers the entire pan		When the butter has melted the man adds the leeks to the saute pan. 
9849	9928	take out	hand	spatula	,drawer																				
9962	10698	stir	spatula	leek	pan																				
10698	10744	tap	spatula	pan				The person stirred the leeks 															The person separates the leeks in the pan to allow them to saute effieciently in the melted butter.		
11372	11404	take out	hand	spice shaker	spice holder																				
11404	11473	screw	hand	spice shaker																					
11479	11518	smell	hand	spice	spice shaker																				
11604	11657	screw	hand	spice shaker																					
11684	11720	screw	hand	spice shaker																					
11724	11755	smell	hand	spice	spice shaker																				
11762	11795	screw	hand	spice shaker																					
11840	12010	flip	pan	leek	pan																				
12102	12145	screw	hand	spice shaker						The person cooks the leek until slightly caramelized - stirring occasionally.															
12152	12297	spice	spice shaker	spice	pan																				
12301	12326	screw	hand	spice shaker																					
12340	12361	screw	hand	spice shaker																					
12361	12537	spice	spice shaker	spice	pan																				
12541	12582	screw	hand	spice shaker																					
12605	12620	screw	hand	spice shaker																					
12620	12780	spice	spice shaker	spice	pan																				
12783	12816	screw	hand	spice shaker		He seasons the leeks.		The person added seasonings to the leeks						He adds some spices to the pan.		He seasons the leeks. 							The person continues to saute the leeks, then flips them around a bit in the pan before adding spices.		While the leeks are still cooking the man adds 3 different spices. 
12902	13006	shake	hand	pan																					
13006	13159	flip	pan	leek	pan			The person tossed the leeks 																	
13285	13385	change temperature	hand	stove																					
13414	13593	stir	spatula	leek	pan																				
13593	13621	tap	spatula	pan						The person seasons the leek to taste.								The person adds seasons to taste, adjusts temperature and stirs occasionally. 							
13643	13778	take out	hand	fork	cutting board,drawer																				
13823	14141	stir	spatula	leek	pan																				
14141	14165	tap	spatula	pan				The person stirred the leeks																	
14480	14553	taste	fork	leek																					
14678	14730	taste	fork	leek				The person tasted a sample of the cooked leeks																	He retrieves a fork from the drawer and then tastes the leeks. 
14797	15233	stir	spatula	leek	pan																				
15233	15301	tap	spatula	pan																					
15379	15405	screw	hand	spice shaker																					
15410	15499	spice	spice shaker	spice	pan																				
15504	15555	screw	hand	spice shaker																					
15574	15579	screw	hand	spice shaker																					
15593	15701	spice	spice shaker	spice	pan																				
15703	15734	screw	hand	spice shaker																					
15756	15815	screw	hand	spice shaker																					
15832	15952	spice	spice shaker	salt	pan																				
15952	15986	screw	hand	spice shaker		He seasons the leeks again.		The person added more seasoning						He adds more spices to the leeks. 	He seasons the leeks.					The man seasons the leeks as they cook.			The person adjusts the heat, stirs the leeks and spices together, tastes them after a few moments and decides to add more spices to the mixture.		
16034	16247	take out	hand	paper box	,cupboard																				He adds 3 more spices to the leeks.
16301	16411	move	paper box	salt	hand,paper box																				
16427	16676	add	hand	salt	hand,pan			The person added additional seasoning from the refridgerator			The person adds condiments to the leeks in the pan.														
16703	16744	change temperature	hand	stove						The person adds additional seasoning to the leek.															
16777	17160	stir	spatula	leek	pan																				
17160	17191	tap	spatula	pan				The person stirred the leeks																	
17264	17368	take out	hand	glass	cupboard																				
17403	17454	fill	faucet	water	,glass																				
17495	17604	pour	glass	water	pan	He adds water to the leeks.		The person added water to the leeks		The person deglazes the pan with water.	The person takes a glass from the cabinet, fills it with water, and pours the water into the pan.			He adds some water to the pan.	He adds water to the pan.	He adds water to the leeks. 				The man adds a little water into the pan.					
17664	17843	take out	hand	jar	,cupboard																				
17848	17903	screw	hand	jar																					
17952	18041	take out	hand	teaspoon	,drawer																				
18041	18181	stir	teaspoon	soup powder	jar																				
18181	18309	add	teaspoon	soup powder	jar,pan			The person added another seasoning from the refridgerator		The person adds additional seasoning to the leek.					He adds spice.			The person adds salt and more seasons to taste and then adds water while stirring occasionally.							The man adds salt, about half a cup of water and then some more powered spice from the cupboard. 
18353	18595	stir	spatula	leek	pan																		The person stirs in a new spice, then adds some water and a flavor powder to the leeks before stirring again and adjusting the heat.		
18604	18651	change temperature	hand	stove																					
18661	19015	stir	spatula	leek	pan																				
19128	19196	move	paper box	salt	hand,paper box																				
19196	19334	add	hand	salt	hand,pan			The person added more seasoning																	
19351	19570	stir	spatula	leek	pan																				
19845	19895	taste	fork	leek																					
19895	19923	shake	hand	fork																					
20003	20096	stir	spatula	leek	pan		While allowing the leek to cook, the person adds little water and spices.																		After adding additional salt, the man samples the leeks again. 
20096	20125	tap	spatula	pan																					
20134	20184	change temperature	hand	stove																The man continues to season the leeks as they cook.			The person allows a few moments for the new spice/flavoring to cook into the leeks before taking a small bite to be sure they are cooked and ready to serve.		
20209	20436	move	hand	spice shaker	counter,spice holder																				
20485	20716	put in	hand	glass	counter,dish washer																				
20755	20793	move	hand	teaspoon	cutting board,plastic bottle																				
20802	20844	screw	hand	jar																					
20913	21077	put in	hand	jar,paper box	,cupboard																				
21077	21424	take out	hand	plate	counter,cupboard	He straightens up and gets a plate.					The person adds more condiments and then returns them all, then the person procures a plate from the cabinet.							The person continues to add seasons to taste and gets a serving plate.							
21451	21569	stir	spatula	leek	pan																				
21573	21678	change temperature	hand	stove																					
21782	22648	move	spatula	leek	pan,plate	He puts the leeks on a plate.	The person places the finished leek into a small dish.			The person places the cooked leek on a plate.	The person turns off the stove and scoops the leeks from the pan onto the plate.	He finishes cooking and puts the leeks on a plate. 		He puts the leeks on a plate.	He puts the leeks on a plate.	He puts the leeks on a plate.		The person places the leeks in the serving plate.					The person allows the leeks to simmer a moment longer on low heat while he puts away the spices, grabs a plate, then removes the pan from the stove and places the leeks onto his plate and turns off the stove.		
22694	22753	move	hand	pan,spatula	,sink			The person served the leeks												The man places the leeks into a plate.					Finally, after the leeks have finished sauteing, the man retrieves a bowl from the cupboard and adds the leeks.
22823	22868	move	hand	counter,cutting board,knife																					
