188	316	take out	hand	cutting board	counter,drawer	He took out cutting board	The person takes out a cutting board from the drawer.	The person takes out a cutting board from the drawer.		The person gets out a cutting board.	The man grabs a cutting board.				The person gets out a cutting board.	The person takes out a cutting board from the drawer.	Person walks to the counter.. The person gets out a cutting board.		The person gets out a cutting board.		The person gets out a cutting board.	The man retrieves a cutting board from the cabinet.	The person gets out a cutting board.	He took out cutting board	The person gets out a cutting board.
2049	2089	move	hand	leek	,cutting board															The man washes the green onion again.				He washed leek	
2106	2136	cut	knife	leek	cutting board						The man cuts off the remaining leaves.										The person chops off the dark green leaves of the leek.		The person cuts off the rest of the leaves.		
2145	2186	move	hand	leek	cutting board,plate	He cut off top of leak		The person chops off the top of the leeks on the cutting board and places them on the plate.	He removes the unwanted portions. 	The person cuts off the rest of the leaves.			Preparer trims the leek at top and bottom	He cuts off the leaves of the leeks and places the leeks on the cutting board. 	The person cuts off the rest of the leek's leaves.		The person removes roots and outer leaves and rewashes the leek.		The person cuts off the rest of the leaves.	The man cuts the top off of the green onion.				He cut off top of leek	The person cuts off the rest of the leaves.
2350	2578	cut	knife	leek	cutting board			The person cuts the leeks in half lengthwise.			The man cuts the leek in half the long way.			He cuts the leeks in halves and begins to chop the leeks in tiny pieces. 				the person the returns the leek to the cutting board and slices it length wise.	The person slices the leek in half lengthwise.	The man cuts the green onion in half, the long way.	The person chops the leek in half lengthwise.	The man slices the leek down the center to make two stems.	The person slices the leek in half lengthwise.		
2596	3353	slice	knife	leek	cutting board			The person chops one halved leek.										the person then finely chops the leek and places it aside.							
3442	3481	scratch off	hand	leek	cutting board,knife																				
3481	4370	slice	knife	leek	cutting board																				
4371	4428	scratch off	hand	leek	cutting board,knife	He diced leek	The person chops the leeks on the cutting board.	The person chops the second halved leek.	He chops the leeks. 	The person chops up the leek.	The man chops both halves into nice thin pieces.	He chops the leeks.	Preparer cuts leek down the center, long ways, and chops both halves into small pieces.		The person chops up the stalk of the leek.	The person chops the leeks on the cutting board.	The person chops the leek.	the person then finely chops the other half of the leek.	The person cuts each half of the leek into small pieces.		The person dices the leek.	The man dices the leek on the cutting board.	The person chops up each half of the leek.	He diced up leek	The person dices the leek.
4479	4531	move	hand	leek	counter,plate															The man chops up both halves of the green onion.					
4531	4569	move	hand	plate	counter																				
4625	4742	move	hand	leek	cutting board,plate									He places the chopped leeks on the white plate. 											
4827	4909	gather	hand,knife	leek	cutting board																				
4909	4968	move	hand,knife	leek	cutting board,plate																				
4968	5003	scratch off	hand	leek	knife,plate																				
5012	5071	gather	hand,knife	leek	cutting board																				
5071	5113	move	hand,knife	leek	cutting board,plate																				
5113	5152	scratch off	hand	leek	knife,plate																				
5160	5202	shake	hand	hand,knife			The person scoops the chopped leeks on the plate.	The person removes the tops of the leeks from the plate and scoops the chopped leeks onto it.								The person sets the chopped leeks on the plate.	The person places the chopped leek onto the plate.								
5219	5272	gather	knife	leek	cutting board																				
5289	5314	move	hand,knife	leek	cutting board,plate														The person puts the pieces of leek on the plate.						
5314	5351	scratch off	hand	leek	knife,plate	He put leek on plate			He puts the leeks on a plate. 	The person puts the chopped leek on the plate.	The man puts the chopped pieces on the plate.	He puts the leeks on a plate.	Preparer transfers chopped leeks onto plate.		The person puts the pieces of leek on the plate.			the person then puts the chopped leak on the plate.					The person puts the pieces of leek on the plate.		The person puts the diced leek on the plate.
5360	5397	shake	hand	hand							The man completes his assigned task.						The person gathers the last bits of leek and steps away from the table.			The man places the chopped green onion onto the plate.	The person moves the diced leek from the cutting board to the plate.	The man places the diced leek on a plate.		He put leek on plate	
