169	269	take out	hand	cutting board	counter,drawer	He took out cutting board	The person takes out a cutting board from the drawer.		The person selects a cutting board.	The person took out a cutting board.	He gets a cutting board.		The person selected a cutting board.	The person takes out a cutting board.		Person gets a small wooden cutting board.	The person selects a cutting board.	A man enters the kitchen, removes a cutting board from the drawer and places it on the counter top.	He gets a cutting board from the cupboard.	He took out cutting board		person gets out cutting board	He took out cutting board
3739	3974	cut	knife	avocado	cutting board	He cut avocado in half 		He cut avocado in half	The avocado is cut in half.			The person sliced the avocado in half.	The avocado is cut in half.	Using the knife, the person separates the avocado in half.			The avocado is cut in half.		He slices the avocado in half. 	He took avocado in half		person gets out avocado	He sliced avocado in half
4052	4439	cut	hand,knife	avocado,stone	cutting board	He took out avocado pit 			The seed is pried out with the knife	The person cut the avocado in half and took out the pit.			The seed is pried out with the knife	Using the knife, the person takes out the avocado seed.	He then uses a knife to split open the avocado and remove the pit leaving him with two halves. 	Person cuts the avocado in half and removes the large pit.	The seed is removed with the knife.		He removes the pit from the avocado.		He cuts it in half and removes the pit.	person takes out the pit	
4537	4698	throw in garbage	hand	stone			The person uses the knife to cut the avocado in half on the cutting board, then removes the seed and throws it in the trash.	He threw away pit	The seed is discarded.		He removes the pit and discards it.	The person removed the avocado pit and disposed of it.	The seed is discarded.							He took out pit			He threw away pit
4713	4877	wash	hand	hand																			
4877	4920	shake	hand	hand				He washed hands	The person rinses their hands.			The person washed his hands.	The person rinses their hands.			Person washes his hands again.	The seed is discarded and the person rinses their hands.	The man takes a knife out of the drawer, cuts the avocado in half, removes the core and washes his hands.		He washed hands			He washed his hands
5070	5336	slice	knife	avocado	cutting board																		
5387	5778	chop	knife	avocado	cutting board																	person dices one of the halfs of avocado	
5934	6240	slice	knife	avocado	cutting board																		
6322	6722	chop	knife	avocado	cutting board										Finally, he uses the knife to cut the avocado into thin strips and then he cuts the opposite way leaving smaller diced chunks. 								
6723	6756	scratch off	hand	avocado	cutting board,knife	He diced avocado	The person washes his hands then dices the avocado.. The person puts the knife into the sink.		The avocado halves are sliced then chopped.. The knife is placed in the sink.. The avocado is ready.	The person diced the avocado.	He dices the avocado.	The person cubed the avocado.	The avocado halves are sliced then chopped.. The knife is placed in the sink.	The person cuts each avocado half in slices length-wise and then width-wise, ending up with small chopped pieces.. The person is done.		Person dices the avocado halves into 1/4 inch cubes.	The avocado halves are sliced then chopped.. The knife is placed in the sink.	The man dices both halves of the avocado and places the knife into the sink.	He slices the avocado into small pieces. 	He chopped avocado	He slices the avocado. 	person dices second half of avocado	He diced avocado
