224	556	take out	hand	orange	counter,fridge	Obtain 1 Medium Sized Orange.	A man enters the kitchen removes an orange from the refrigerator and places it on the counter.	The person gets out an orange.	The person gets out an orange.	The young man retrieves a orange from the refrigerator	The man takes out an orange.	The person gets out an orange.	He took out orange	The person procures an orange from the fridge.	Get your fresh orange ready.	He took out orange	The person procures an orange from the fridge.	The person selects and orange.	The person takes an orange out of the fridge.	The person gets out an orange.	The person procures an orange from the fridge.	He took out orange	The person gets out an orange.
2446	3062	squeeze	squeezer	orange	squeezer	Place orange half on the juicer and twist until all pulp is extracted from the orange. Set aside.	He grinds one half of the orange on the juice press.			He uses the orange juicer to squeeze the juice out of one of the halfs of oranges.								The person presses the exposed fruit of one of the orange halves against the top of the juicer, grinding it into the juicer and rotating the orange-half back-and-forth to extract the juice.					
3115	3913	squeeze	squeezer	orange	squeezer																		
3924	4179	squeeze	squeezer	orange	squeezer																		
4294	4540	squeeze	squeezer	orange	squeezer	Repeat with second orange half.	He grinds the second half of the orange on the juice press.	The person juices the orange.	The person juices the orange.	He uses the orange juicer to squeeze the juice out of one of the second half of the orange.. He sifts the orange pulp from the top half of the orange juicer. 	The man pushes and twist the orange into the juicer.	The person juices the orange.	He twisted orange on juicer	The person grinds both orange halves into the juice strainer with his palm.	For each half, press down firmly on top of the juicer and twist back and forth.	He twisted orange on juicer	The person grinds both orange halves into the juice strainer with his palm.	The person repeats the previous step using the second orange-half.	The person squeezes both halves of the orange using the orange juice squeezer.	The person juices the orange.	The person forcefully twists and grinds both orange segments into the juice strainer.	He twisted orange on juicer	The person juices the orange.
4943	5025	take out	hand	spoon	cutting board,drawer			The person gets out a spoon.	The person gets out a spoon.	He then gets a spoon from the draw.		The person gets out a spoon.	He took out spoon	The person takes out a spoon from the drawer.			The person takes out a spoon from the drawer.			The person gets out a spoon.	The person gets a spoon from out of the drawer.		The person gets out a spoon.
5105	5316	pour	squeezer	orange	glass	Pour juice from juicer to cup.		The person pours the juice into the glass.	The person pours the juice into the glass.	He pours the juice from the juicer into a glass .		The person pours the juice into the glass.	He poured juice in glass	The person pours the juice from the strainer into the glass.	Pour your juice into the glass.	He poured juice in cup	The person pours the juice from the strainer into the glass.	The person tips the juicer to strain the juice into the glass.	The person pours the juice into the glass.	The person pours the juice into the cup.	The person pours the juice extract from the strainer into the glass.	He poured juice in glass	The person pours the juice into the glass.
5525	5587	add	spoon	orange	glass,squeezer	Use a spoon to extract the pulp from the juicer into the cup.																	
5587	5637	stir	spoon	orange	glass					He scoups some of the pulp from the juicers top half and stirs it into the juice itself.													The person scrapes the pulp into the glass.
5637	5721	add	spoon	orange	glass,squeezer				The person scrapes the pulp into the glass.												The person uses the spoon to scoop the pulp from the strainer and stirs it into the glass.		
5740	5765	move	hand	cutting board	counter		He pours the juice from the juice press into the glass and stirs it a bit.	The person scrapes the pulp out of the juicer and adds it to the glass.				The person scoops the pulp into the glass.		The person uses the spoon to scoop the pulp from the juice strainer into the glass.				The person uses a spoon to scoop out pulp from the juicer and place it in the juice glass.					
5765	5794	move	hand	glass	counter						The man puts the juice and pulp into the glass.				Scrape pulp into the glass.		The person uses the spoon to scoop the pulp from the juice strainer into the glass.		The person uses a spoon to scoop the pulp into the glass.	The person scoops the pulp out of the juicer into the cup.			
