221	494	take out	hand	orange	fridge	Person takes out orange.	The person procures an orange from the fridge.	She gets an orange. 	The person takes an orange from the fridge.			Person removes one orange from refrigerator.	She took out orange		She takes one orange out of the refrigerator. 	She took out orange	She took out orange	She took out orange	She took out orange	The person gets out an orange.	Girl goes to the fridge and gets an orange and washes it.	The person procures an orange from the crisper.	The person gets out an orange.
6419	6568	take out	hand	spoon	drawer		The person takes out a spoon from the drawer. 													The person gets out a spoon.		The person gets a spoon from the cutlery drawer.	The person gets out a spoon.
6588	6688	scratch off	spoon	orange	lid																		
6688	6786	add	spoon	orange	glass,lid																		
6804	6868	scratch off	spoon	orange	lid																		
6868	6918	add	spoon	orange	glass,lid																She takes the pulp that was left and puts it in the glass.		
6976	7474	scratch off	spoon	orange	squeezer																		
7497	7699	add	spoon	orange	glass,squeezer	Person scrapes pulp into cup.	The person uses the spoon to scoop the pulp out of the top part of the juice strainer into the glass.		The person takes a spoon from the drawer and uses it to scoop the pulp from the top part of the strainer into the glass with the juice.					She uses the spoon to get juice and pulp from the top of the juicer and put it in the glass.	She grabs a spoon and uses it to take out the remaining orange from the juicer and places it in the cup. 							The person uses the spoon to scoop pulp from the strainer into the glass.	
7718	7766	move	hand	spoon,squeezer	,sink			She puts the pulp in the glass. 			The woman scoops the pulp into the glass.	Using a spoon, the person gathers the pulp from the top half of the juicer and adds it to the juice from the orange in the glass.								The person scrapes the pulp out of the juicer and into the glass of juice.			The person scrapes the pulp into the glass.
7791	7850	move	hand	cutting board,knife	counter,sink		The person places the spoon, the juicer, the knife, and the cutting board into the sink.		The person puts the knife, the juice strainer, and the cutting board into the sink.	Use a spoon to scoop pulp from juicer.		The person moves the cutting board, juicer, knife and spoon to the sink.		She puts the knife, cutting board, and juicer into the sink.						The person puts the dishes in the sink.		The person places the strainer, the cutting board, and the knife into the sink.	
7885	8018	take out	hand	spoon	drawer																		
8018	8070	put in	hand	spoon	,drawer																		
8083	8114	take out	hand	fork	drawer																		
8118	8209	stir	fork	orange	glass	Person stirs pulp and juice together.																	
8217	8242	taste	fork	orange			The person takes out a spoon from the drawer, stirs the juice in the glass, and places the spoon in the sink.		The person takes another spoon from the drawer and stirs the pulp into the juice.											The person gets out another spoon and stirs the juice.			The person gets out another spoon and stirs the juice.
8251	8279	move	hand	fork	,sink			She stirs the juice. 		Stir and enjoy.	She mixes the juice and pulp.	Retrieving a fork from the drawer, the person mixes the pulp and juice together in the glass.		She gets out a fork and mixes around the orange juice.	Finally, she grabs a fork and stirs the orange juice in the cup. 							The person gets a spoon from the cutlery drawer and stirs the juice in the glass.	
