2052	2135	throw in garbage	hand	plastic bag																			
2135	2180	close	hand		drawer									Take the broccoli out of its bag and wash. 		He goes to the drawer and takes out a cutting board and then removes and disposes of the wrapper on the broccoli.	The person gets a knife and cuts the flowerettes off the stalk and throws the stalk away.	He goes to the drawer and gets out a knife and chops the broccoli and then throws away the stem.	cut chunks of florets from broccoli, discard stem				
2227	2602	wash	hand	broccoli		Wash the broccoli crown.				The person rinses the broccoli.							The person cuts the florets into smaller pieces.		cut broccoli florets into smaller, bite size pieces			He washed broccoli	
2608	2859	shake	hand	broccoli			He rinses he broccoli. 	Next, he rinses the broccoli with water and then places it on the cutting board. 	Remove broccoli from packaging and rinse.		He tears the plastic cover off the broccoli and washes it in the sink, shaking it to dry it off.	The broccoli is opened and washed. 	The person rinses the broccoli.		Wash the broccoli.	He takes the broccoli to the sink and rinses it then shakes it dry.				The person rinsed the broccoli.	Rinse the broccoli with water.		The person rinses the broccoli.
2955	3111	take out	hand	knife	,drawer							The person removes a knife. 	The person gets out a knife.	Take out a cutting board and a knife.								He took out knife	The person gets out a knife.
3180	3292	cut	knife	broccoli	cutting board																		
3310	3373	cut	knife	broccoli	cutting board																		
3413	3471	cut	knife	broccoli	cutting board									Cut off the broccoli from the stem. 			The person checks the water, then decides to add salt to make it boil faster.	He re-chops the broccoli, checks the water, washes and dries his hands, and then adds salt to the water.	while waiting for water to boil, season with salt				
3540	4162	cut	knife	broccoli	cutting board	Cut the head of the broccoli crown into smaller broccoli pieces.		Using a knife, he trims the broccoli from the stalk. 				The broccoli florets are cut away from the stem.			Using a cutting board, remove the broccoli pieces from the stem.		The person adds the broccoli to the pot.	He then adds the broccoli to the pot and recovers the pot.	place broccoli in pan and cover	The person cut the florets off the stem.	Cut the florets from the broccoli stem.	He cut off tops of broccoli	
4333	4477	throw in garbage	hand	broccoli			He cuts off the heads and discards the stalk. 		Separate florets from stem, then discard stem.	The person cuts up the broccoli and throws away the stalk.	He uses the knife to cut the crowns off of the broccoli stem and throws the stem into the trash can.	The stem is discarded.	The person cuts up the broccoli and throws away the stem.			He opens the drawer and gets a knife and cuts up broccoli and then throws away the stem.	the person waits for the water to boil.		check on broccoli, add seasoning, recover			He threw away stem	The person cuts up the broccoli and throws away the stem.
4765	4871	cut	knife	broccoli	cutting board												The person gets something out of the cupboard, adds it to the broccoli (pickle juice??) and then puts it back.	He goes to the cabinet and gets some spices and adds it to the pot.					
4903	4959	cut	knife	broccoli	cutting board			Next, he trims the broccoli into smaller pieces of roughly equal size. 															
4986	5066	cut	knife	broccoli	cutting board																		
5089	5145	clean	hand	broccoli	cutting board,knife				Separate larger florets to uniform size.	The person cuts a few big pieces of broccoli into smaller ones.	He cuts the pieces of broccoli into smaller pieces.	The pieces are cut smaller.								The person cut up some of the florets.		He cut up broccoli	
5271	5311	remove lid	hand	lid	pot																		
5331	5382	put lid	hand	lid	pot																		
5496	5557	wash	hand	hand																			
5557	5596	shake	hand	hand																		He washed hands 	The person rinses his hands.
5610	5752	dry	towel	hand							He checks on the pot of boiling water, washes his hand and dries it with a towel.	The person washes and dries their hands.	The person rinses his hands.			He cuts the broccoli into smaller pieces and washes and dries his hands while he waits.							
5956	6012	take out	hand	spice shaker	spice holder																		
6113	6200	remove lid	hand	lid	counter,pot												The person wait and waits and waits while the broccoli is cooking.						
6214	6257	screw	hand	spice shaker															check on broccoli, add seasoning again, recover pot				
6271	6719	spice	spice shaker	salt	pot									Put some salt into the water.			The person adds some pepper?? to the broccoli.	He waits for the broccoli to cook and then adds some more spices to the pot.					
6737	6795	screw	hand	spice shaker		Add salt to the water in the pot.														The person seasoned the water.		He put salt in water	
6795	6873	put in	hand	spice shaker	,spice holder					The person adds salt to the water.	He shakes some salt into the pot of water.	Salt is added to the water.				He adds salt to the pots of water then puts the salt away.	The person gets out a white plate and pasta scooper.	He goes to the cabinet and gets out a plate.. He goes to the drawer and gets out a ladle.					The person adds salt to the water.
7166	7273	add	cutting board,knife	broccoli	cutting board,pot																		
7286	7319	add	hand	broccoli	pot,stove												The person waits a few moments longer for the broccoli to be done and turns off the burner.		turn off stove				
7332	7599	add	cutting board,knife	broccoli	cutting board,pot															The person put the broccoli in the pot.			
7599	7666	shake	hand	knife		Add the broccoli to the boiling water in the pot.	He puts the broccoli in the water. 	After adding salt to the water, the man places the broccoli into the pot with water. 		The person puts the broccoli in the water to cook.			The person adds salt to the water and puts in the broccoli.		Add broccoli to the pot of water.						Add some salt and the florets to the boiling water.	He put broccoli in water	The person puts the broccoli in the water to cook.
7713	7780	put lid	hand	lid	counter,pot				Add salt to water to taste, then add broccoli.		He uses the knife to push the pieces of broccoli into the pot and then puts the top onto the pot.	The pieces are placed in the pot and covered.		Put the broccoli into the pan of water, placing a lid on top. 		He puts the broccoli pieces into the pot then covers the pot with the lid.	The person scoops the broccoli out of the pot and onto the plate.	He scoops out the broccoli and places it on the plate.	scoop out broccoli with slotted spoon onto platter. allow to cool, all done!				
8801	8968	take out	hand	jar	,cupboard																		
8972	9027	screw	hand	jar																			
9087	9131	add	jar	peppercorn	jar,lid																		
9166	9215	remove lid	hand	lid	pot																		
9215	9254	add	lid	peppercorn	pot																		
9254	9293	put lid	hand	lid	pot	Season the broccoli while it's cooking.														The person seasoned the broccoli.			
9314	9357	screw	hand	jar										Put a small amount of seasoning into the pan.							Add a dash of pepper to the boiling water.		
9401	9529	put in	hand	jar	,cupboard			Next, the man retrieves a jar from the cupboard and then adds some of the juice from the jar into the broccoli.		The person adds something I don't recognize to the broccoli.	He gets out some spices? from the cabinet and pours some on top of the broccoli before placing it back in the cabinet.	More seasoning is added.	The person adds something I don't recognize to the broccoli.	Wait for broccoli to cook.		He adds more spices to the pot.							The person adds something I don't recognize to the pot.
11346	11418	remove lid	hand	lid	pot																		
11582	11643	put lid	hand	lid	pot				Cover pot and bring to boil. (Roughly 3 minutes)	The person waits for the broccoli to cook.			The person waits while the broccoli cooks.										
12242	12271	take out	hand	spice shaker	spice holder																		
12276	12449	read	hand	spice shaker																			
12486	12547	screw	hand	spice shaker																			
12579	12598	remove lid	hand	lid	pot																		
12610	12874	spice	spice shaker	spice	pot										Season the broccoli while it is boiling.								
12880	12923	put lid	hand	lid	pot		He seasons the water. 													The person checked the broccoli and seasoned it again.	Add some more salt.		
12949	13009	screw	hand	spice shaker																			
13048	13085	put in	hand	spice shaker	,spice holder				Once boiling, you may add more seasoning to taste.	The person adds pepper to the broccoli.	He waits for the broccoli to cook and sprinkles some pepper on top.		The person adds pepper to the broccoli.			After he wait awhile he adds more spices to the pot.							The person waits while the broccoli cooks.
13292	13640	take out	hand	plate	counter,cupboard					The person gets out a plate.			The person gets out a plate.							The person got out a plate.			The person gets out a plate.
13667	13848	take out	hand	spoon	counter,drawer		He gets out a plate and a strainer. 		Prepare dishes and utensils for serving.	The person gets out a plastic spoon.		A dish and slotted spoon are removed.	The person gets out a plastic spoon.			He goes to the cupboard and get a plate and then the drawer for a utensil.							The person gets out a strange-looking spoon.
14249	14362	change temperature	hand	stove			He turns off the heat. 																
14447	14571	remove lid	hand	lid	cutting board,pot						He gets out a knife and a rounded spatula and takes the cover off the broccoli.												
14644	14774	move	spoon	broccoli	plate,pot																		
14788	14898	move	spoon	broccoli	plate,pot																		
14902	14992	move	spoon	broccoli	plate,pot																		
14997	15080	move	spoon	broccoli	plate,pot									Scoop out broccoli onto clean plate.									
15084	15152	move	spoon	broccoli	plate,pot																		
15159	15242	move	spoon	broccoli	plate,pot	Serve the cooked broccoli onto a plate.	He removes the broccoli. 	After the broccoli has boiled, the man retrieving the broccoli from the pot and places it onto a plate. 	After boiling for roughly 2-3 more minutes, broccoli is ready to be served.	The person puts the broccoli on the plate.	He scoops up the broccoli and puts it on the plate.	The broccoli is ready and placed on the dish.	The person puts the broccoli on the plate.		Put the broccoli on a plate.	He scoops out the broccoli and puts it on the plate.				The person took the broccoli out of the pot.	Once the broccoli is tender remove it from the boiling water, and put it on a serving dish.		The person scoops the broccoli onto the plate.
