257	354	open	hand		drawer															He took out cutting board			
15238	15762	pour	pot	water	sink		he takes the pot off of the stove and drains the pot of its water, being careful to keep the broccoli	Removes pan from stove and dumps water out of pan.			He removes the broccoli from the heat and pours out the water.		He takes the pot from the stove and pours out the water.	He takes the pot and pours out the water.			He pours the water out of the pot.						The man drains the water from the pot.
15932	16005	pour	pot	water	sink	Person drains broccoli.			The person takes out a fork from the drawer, tests the broccoli, then pours the water from the pot into the sink.			He drains the water from the pot.											
16074	16136	remove lid	hand	pot																	The person drains the water in the pot from the broccoli into the sink.		
16161	16183	move	hand	plate	counter																		
16183	16205	move	hand	bowl	counter																		
16205	16228	move	hand	pot	counter																		
16290	16332	move	hand	broccoli	plate,pot										After the broccoli has boiled for awhile, he pours to excess water into the sink.								
16405	16507	move	fork	broccoli	plate,pot																		
16512	16586	move	fork	broccoli	plate,pot																		
16597	16655	move	fork	broccoli	plate,pot																		
16660	16732	move	fork	broccoli	plate,pot																		
16744	16838	move	fork	broccoli	plate,pot																		
16843	16894	move	fork	broccoli	plate,pot																		
16914	16967	move	fork	broccoli	plate,pot																		
16978	17021	move	fork	broccoli	pot																		
17026	17074	move	fork	broccoli	plate,pot																		
17116	17264	move	fork	broccoli	plate,pot	Person serves broccoli onto plate.			The person uses the fork to pluck the broccoli from the pot and set it on the plate.		He puts the broccoli on a plate.		He puts the broccoli on the plate.	He puts the broccoli on a plate.	Using a fork, he then places each piece of broccoli onto a plate. 						The person uses the fork to place the broccoli on the plate.		Using a fork, the man places all of flower heads from the pot to the plate.
17351	17562	arrange	hand	broccoli	plate							The man places the broccoli onto a plate.					He puts the broccoli on the plate.						
17618	17669	screw	hand	spice shaker																			
17686	17948	spice	spice shaker	spice	plate	Person sprinkles pepper on broccoli.									Finally, the man sprinkles some spice on the broccoli. 		He seasons the broccoli.						
17948	17983	screw	hand	spice shaker				Removes broccoli from pan and places it on a plate; seasons with pepper.			He seasons the broccoli. 		He seasons the broccoli.										The man seasons the broccoli with what appears to be black pepper.
17983	18043	put in	hand	spice shaker	,spice holder		he puts the broccoli onto the plate and puts pepper on it																The man completes his assigned task.
