303	875	take out	hand	plastic bag	counter,fridge	She took out chili	She gets out the chills	She gets out some kind of chili.	She grabs the peppers. 	Takes the chilies out of the refrigerator.	She took out chili	The person takes chili peppers out of the fridge.		The woman begins by selecting a fresh chili from the fridge and places it on the counter. 	She took out chili	The person takes chilis from the refrigerator and places them on the counter.		She took out chili	The person gets out a bag of chilies.	The person gets out a bag of chilies.	Woman removes pepper from refrigerator.	Get your chili ready.
5286	5320	move	hand	chilli	cutting board,plate									After rinsing the chilies, she cuts the stem off of the first one and then cuts it into little pieces placing the pieces back onto the plate. 	She diced chili							
5426	5543	move	knife	chilli	cutting board,plate											The person uses the paring knife to remove the stem a chili and cut it into small lateral slices.. The person places the sliced chili onto the plate.						
5595	5623	move	hand	chilli	cutting board,plate			She repeats the process for the second chili pepper.			She diced chili											Place pieces of chili on plate and repeat the steps for the remaining chili.
5637	6358	slice	knife	chilli	cutting board	She diced chili									She diced second chili	The person uses the paring knife to remove the stem from the second chili and cut it into small lateral slices.	Again slice the pepper width-wise throughout the pepper.	She chopped up chili				
6426	6486	move	knife	chilli	cutting board,plate					Slices up the chilies and puts them on the plate.						The person places the second sliced chili onto the plate.			The person cuts the top off of each chili, cuts the chilies up and puts the pieces on the plate.	The person cuts the top off of each chili and chops up the rest of them.	Woman removes stems then slices the chilli peppers.	
6486	6663	arrange	knife	chilli	plate		She chops the chilies and puts them on a plate.		She chops the peppers and puts them on the plate. 			The person chops the peppers and puts the pieces on the plate.	Put a chili on the cutting board and cut off the stem, then cut the chili along its length into 1/4 inch pieces, repeat for the other chili and put the cut chili on the plate.		She put chili on plate		Place all the sliced pieces of pepper on a plate.					Discard chili stems in the trash.
6849	6924	throw in garbage	hand	chilli								The person throws the stems of the peppers away.		She repeats the previous step on the next chili. 					The person throws away the tops of the chilies.	The person throws away the tops of the chilies.		
6972	7019	wash	hand	hand				She washes her hands.														
7019	7056	shake	hand	hand								The person rinses her hands.								The person washes her hands.		Rinse hands.
7126	7216	wash	hand	cutting board																		
7216	7265	wash	hand	knife																		
7265	7316	wash	hand	cutting board																		
7350	7397	shake	hand	cutting board,knife																		
7411	7506	put in	hand	cutting board	,drawer							The person rinses the cutting board and knife.	Discard the chili stems and wash your hands and the cutting board and knife.	Finally, she discards the stems and then washes the knife and cutting board putting them back in their original locations. 								
7530	7610	put in	hand	knife	,drawer		She cleans up.		She cleans up.			The person puts the cutting board and knife away.				The person rinses and replaces the paring knife and cutting board.	Clean off your dishes and put them away.		The person rinses and puts away the knife and cutting board.	The person rinses and puts away the knife and cutting board.	Woman cleans up after preparing the peppers.	Rinse off cutting board and knife and put away.
