165	383	take out	hand	cauliflower	counter,cupboard	The person gets out a cauliflower.	She gets out the cauliflower.	A woman enters the kitchen, retrieves a cauliflower from the pantry and places it on the counter.	Cauliflower is removed from the cabinet.	Cauliflower is removed from the cabinet.	She took out cauliflower	She took out cauliflower	She took out cauliflower	She took out cauliflower	Woman walks to refrigerator. . Woman takes out cauliflower and places it on the counter.	The person gets a cauliflower from the pantry.	The woman removed the cauliflower from the cabinet and places it on the counter.	The person gets out a cauliflower.
6479	6518	add	hand	cauliflower	bowl,cauliflower													
6526	6593	cut	knife	cauliflower	counter	The person trims more stuff off the cauliflower, and puts the trimmed pieces in the blue bowl.												
6594	6731	take apart	hand	cauliflower	,counter													
6770	6928	purge	knife	cauliflower	,bowl													
6932	6954	add	hand	cauliflower	,colander								She cut up cauliflower					
7007	7079	cut	knife	cauliflower	counter													
7079	7134	take apart	hand	cauliflower	,counter													
7152	7195	purge	hand	cauliflower	,bowl													
7215	7341	purge	knife	cauliflower	,bowl													
7350	7390	add	hand	cauliflower	,colander													
7447	7512	cut	knife	cauliflower	counter													
7512	7585	take apart	hand	cauliflower	,bowl	The person pulls off more pieces of cauliflower, trims them and puts them in the silver bowl.												
7585	7629	cut	knife	cauliflower	counter													
7629	7678	add	hand	cauliflower	bowl,cauliflower													
7678	7717	cut	knife	cauliflower	counter													
7717	7795	take apart	hand	cauliflower	,bowl													
7821	7890	cut	knife	cauliflower	counter	The person trims a few more pieces from the cauliflower, and puts them in the blue bowl.												
7891	7935	take apart	hand	cauliflower	counter													
7940	7993	cut	knife	cauliflower	counter													
7999	8050	take apart	hand	cauliflower	counter													
8075	8676	purge	knife	cauliflower	,bowl													
8682	8720	add	hand	cauliflower	,colander													
8824	8863	cut	knife	cauliflower	counter													
8865	8908	add	hand	cauliflower	bowl,cauliflower													
8989	9049	add	hand	cauliflower	,colander													
9093	9112	cut	knife	cauliflower	counter													
9112	9202	purge	hand	cauliflower	,bowl													
9235	9354	purge	knife	cauliflower	,bowl													
9359	9392	add	hand	cauliflower	,colander													
9408	9449	cut	knife	cauliflower	counter													
9458	9488	take apart	hand	cauliflower	counter													
9507	9621	purge	knife	cauliflower	,bowl													
9652	9683	add	hand	cauliflower	,colander													
9706	9788	cut	knife	cauliflower	counter													
9796	9834	take apart	hand	cauliflower	counter													
9875	10017	purge	knife	cauliflower	,bowl													
10023	10062	add	hand	cauliflower	,colander													
10077	10111	cut	knife	cauliflower	counter													
10111	10145	take apart	hand	cauliflower	counter													
10150	10327	purge	knife	cauliflower	,bowl													
10332	10363	add	hand	cauliflower	,colander													
10434	10525	cut	knife	cauliflower														
10531	10607	take apart	hand	cauliflower														
10654	11290	purge	knife	cauliflower	,bowl													
11297	11335	add	hand	cauliflower	,colander													
11363	11812	purge	knife	cauliflower	,bowl													
11827	11865	add	hand	cauliflower	,colander	The person continues to pull off pieces of cauliflower, trim them and put them in the silver bowl until the cauliflower is used up.	She puts the good parts of the cauliflower in the colander. 		The cauliflower is trimmed, cut into pieces and placed in the colander.	The cauliflower is cut into pieces, trimmed and placed in the colander.		She cut cauliflower into pieces			The woman trims each cauliflower floret off the main bunch and puts each floret in the colander.	The person cuts the cauliflower into sections and places them into the colander.	She finishes cutting up the individual cauliflower florets and placing them in the bowl.	The person cuts the cauliflower into chunks, trims each one, and puts the trimmings in the plastic bowl and the cauliflower in the colander.
11902	12084	gather	hand	garbage	bowl,counter			She removes small flowerettes from the cauliflower bunch, and places them into the colander.						She cut cauliflower into pieces	The woman cleans the work surface crumbs into the bowl.		She sweeps the remnants off the counter into the bowl.	
12101	12409	throw in garbage	bowl	garbage		The person scoops the stray trimmings into the blue bowl, and throws its contents away.			The scraps are discarded.	The scraps are discarded.						The person disposes of the stem and leaves in the plastic bowl into the trash.		
12426	12455	move	hand	sponge	sink		She cleans up and discards the waste.	She cleans up.						She threw away scraps	The woman throws the contents of the bowl into the garbage receptacle.  		She empties the cauliflower cuttings into the recycling bin.	The person throws away the trash in the plastic bowl.
