160	238	open	hand		drawer																			
251	377	take out	hand	pan	drawer,stove	The person got out a pan.			He took out pan	The person takes out a pan from the drawer.	He took out pan	Grab a saucepan and place on stove.		The man takes a frying pan from the cabinet and places it on the stove top.			This person places pan on the stove top.	He took out pan	He took out pan	He took out pan. He put pan on stove	He goes to the drawer and gets out a fry pan.		The person takes out a pan and puts it on the stove.	
18768	18811	change temperature	hand	stove			The man stirs the eggs as they cook.															The person lets the egg cook, while periodically scrambling it with the wooden spoon. During this time, he gets a plate and puts the used items away.		
19132	19175	move	hand	towel	,hook																He stirs the eggs, adjusts the stove, puts the butter and spices away, and then re-stirs the eggs.		The person scrambled the eggs around the pan until they are cooked.	
19273	19417	dry	towel	plate																			The person takes out a plate.	
19576	19657	hang up	hand	towel	,hook	The person stirs the eggs until they are done.																		
19778	19925	stir	spatula	egg	pan																			
20015	20216	add	spatula	egg	pan,plate		The man takes the eggs out of the pan.			The person sets the scrambled eggs on the plate.			He puts the scrambled eggs onto the plate.	He removes the frying pan from the stove, and places the eggs onto the plate.		He puts the cooked eggs onto a plate.	this person removes the eggs from the pan and puts them on a plate.					The person scoops the cooked eggs onto a plate.	The person places the cooked eggs onto the plate.	The man removes the eggs from the pan.
20436	20538	add	hand	chive	cutting board,plate									He places the frying pan and spatula into the sink.	He finishes cooking and adds the eggs to the plate.						He dries the plate, returns the towel, and then puts the eggs on the plate.			
20543	20688	add	hand	chive	cutting board,plate																			
20717	20836	take out	hand	fork	drawer,plate									He places the chopped greens on top of the scrambled eggs.	He puts the herbs on top of the eggs. 								The person garnishes the eggs with the fresh herb.	
20854	20896	move	hand	plate	counter,cutting board	The person puts the eggs on a plate and tops it with herbs.	The man finishes by putting the herbs onto the eggs.	While waiting for eggs to cook he cleans up and dries the dish and then puts the eggs on the plate and sprinkles with the herbs and then gets out a fork.		The person sprinkles the herbs over the eggs and takes out a fork from the drawer.		Once eggs are done, place on plate and add onions, enjoy.				He adds the small pieces of the herb to the eggs.					He puts the herbs on top of the eggs and then gets a fork out of the drawer.	The person garnishes the eggs with the fresh herbs.	The person is done preparing scrambled eggs.	Finally the man sprinkles the herbs on to the scrabbled eggs.
