9274	9361	move	bowl,hand	potato	bowl,pot				He turns on the stove and puts water and potatoes in the pot. 	The person turns on the stove and pours the potato and water into a pot.			He adds the potatoes and water to it.				The man adds the potatoes to a pot.						Place a pot on the stove, set the heat level, and add the potatoes and water to the pot.	
9422	9462	fill	faucet	water	,bowl																While allowing them to cook, he adds some seasoning to the potatoes and keeps stirring them.			
9503	9563	pour	bowl	water	pot		He pours the potatoes and water into the pot.																	He adds more water.
9628	9684	fill	faucet	water	,bowl																			
9707	9765	pour	bowl	water	pot				He puts more water in the pot. 	The person adds more water into the pot.		He adds water and the potatoes to a pot.	He puts more water in the pot.	Add salt to the pot	He adds water and the potatoes to a pot.		The man adds more water to the pot.					The person gets a pot and puts it on the stove top, turns on the heat, then he puts the potatoes and water into the pot, adding water as necessary.		
9931	9982	take out	hand	spice shaker	,spice holder																			
9990	10045	screw	hand	spice shaker																				
10049	10150	spice	spice shaker	salt	pot																			
10169	10212	screw	hand	spice shaker						The person adds salt to the pot.														The man adds salt into the pot.
10212	10251	put in	hand	spice shaker	,spice holder									Cover the pot and let cook to boil										
10288	10381	put lid	hand	lid	counter,pot		He puts the lid on the pot.		He salts the pot and puts the lid on. 				He salts the pot and puts the lid on it.				The man seasons the potatoes and covers the pot.					The person puts some salt in the pot and covers it.	Add additional water to the pot and salt to taste.  Cover the pot with a lid.	
10498	10556	wash	hand	knife																				
10578	10651	put in	hand	knife	,drawer																			
10659	10724	move	hand	bowl	counter					The person washes and returns the knife.														
11546	11653	remove lid	hand	lid	pot																			
11653	11719	put lid	hand	lid	pot									Take out frying pan										
11813	12063	take out	hand	pan	drawer,stove		He gets out a frying pan from the cupboard.			The person takes a frying pan out of the drawer.														
12545	12648	open	hand		cupboard																He continuously stirs the potatoes so they don't overcook. He then starts to wash and put away the pot he was using to boil the potatoes.			
12823	12848	remove lid	hand	lid	pot																			
12848	12913	shake	hand	lid																				
12980	13005	shake	hand	lid																				
13005	13051	put lid	hand	lid	pot																			
13141	13182	remove lid	hand	lid	pot																When the potatoes are done, he pours the potatoes into a small serving bowl that he got out of the cupboard.			
13214	13251	put lid	hand	lid	pot																			
13299	13353	change temperature	hand	stove																				The man takes out a pan and turns on the cook top.
13371	13435	change temperature	hand	stove										Now drain remaining water out of pot										
13447	13544	move	hand	pot	counter,stove																	The person lets the potatoes in the pot cook.		
13544	13581	move	hand	lid	pot												The man waits for the potatoes in the pot.							
13605	13982	pour	pot	water	sink		 He drains the pot of water.			The person drains the water out of the pot.		He pours the water from the pot.	He takes the pot off the stove and pours out the water.		He pours out the potato water.							The person takes the pot off the burner and drains the water from the potatoes.		
14010	14165	remove lid	hand	lid	cutting board,pot				He drains the water from the pot. 								He drains the water out of the pot.						While cooking, wash knife and place frying pan on stove top.  Drain water from pot with potatoes into the sink.	The man pours the water out of the pot.
14264	14363	turn on	hand	stove																				
14363	14400	change temperature	hand	stove										Add cooking oil to frying pan										
14496	14643	take out	hand	bottle	,drawer																			
14663	14733	screw	hand	bottle																				
14738	14859	pour	bottle	oil	pan																			
14869	14989	pour	bottle	oil	pan		He gets oil from the cupboard and puts some in the pan.																	
15002	15052	screw	hand	bottle																				
15052	15119	screw	hand	bottle																				
15122	15310	pour	bottle	oil	pan				He oils a heating pan. 			He puts oil in a pan that is heating.	He adds oil to a pan.											
15323	15377	screw	hand	bottle						The person pours some cooking oil into the frying pan.														The man adds oil to the pan.
15393	15636	put in	hand	bottle	,cupboard									Put potatoes in frying pan			The man adds oil to a pan.							
15742	15849	take out	hand	spatula	bowl,drawer																	The person gets a skillet on the burner, puts oil in the skillet and heats it up.		
15911	15996	add	hand	potato	pan,pot																			
16023	16229	add	spatula	potato	pan,pot																			
16254	16481	add	hand	potato	pan,pot		He puts the potatoes in the frying pan.		He puts the potatoes in the pan. 	The person moves the boiled potato pieces into the frying pan.		He adds the potatoes to the pan. 	He adds the potatoes to the hot pan.	Stir potatoes repeatedly 			The man adds the potatoes to the pan.							He adds the potatoes to the pan.
16495	16966	stir	spatula	potato	pan										He adds oil and the potatoes to the pan.								Select heat for frying pan, add oil, then add potatoes and stir with wooden utensil.	
17009	17164	take out	hand	spice shaker	counter,spice holder									Add seasoning as desired										
17164	17200	screw	hand	spice shaker																				
17211	17310	spice	spice shaker	salt	pan																			
17315	17341	screw	hand	spice shaker																				
17362	17384	screw	hand	spice shaker																				
17415	17471	spice	spice shaker	pepper	pan																			
17488	17517	screw	hand	spice shaker																				
17522	17699	stir	spatula	potato	pan																			
17699	17843	spice	spice shaker	spice	pan							He seasons the potatoes.												
17843	18062	stir	spatula	potato	pan		He adds spices to the potatoes.																	
18044	18060	screw	hand	spice shaker	counter																			
18068	18126	screw	hand	spice shaker	counter								He seasons the potatoes and puts the spices away.											The man adds seasoning while stirring the potatoes.
18126	18396	put in	hand	spice shaker	counter,spice holder										He seasons the potatoes and puts the spices away.									
18447	19503	stir	spatula	potato	pan																			
19544	19685	take out	hand	bottle	,cupboard																			
19693	19722	screw	hand	bottle																				
19731	19781	pour	bottle	oil	pan																			
19792	19826	screw	hand	bottle																				
19826	19946	put in	hand	bottle	,cupboard																			
19964	21353	stir	spatula	potato	pan																			
21353	21379	tap	spatula	pan																				
21379	21401	scratch off	spatula	potato	pan,spatula																			
21401	21424	tap	spatula	pan																				
21424	22834	stir	spatula	potato	pan																			
22837	22917	change temperature	hand	stove																				
22925	22964	stir	spatula	potato	pan																			
22964	23006	move	hand	bowl	counter												The man seasons and stirs the potatoes.						Add seasonings to potatoes, stir constantly, add additional oil if needed and cook until lightly brown.	The man continues to stir the potatoes.
23053	23134	open	hand		cupboard																			
23164	23371	take out	hand	bowl	counter,cupboard		He gets a bowl from the cupboard.								He gets a bowl.									
23381	23969	stir	spatula	potato	pan					The person stir fry the potatoes while adding spices and more oil.														
24023	24175	wash	hand	pot																				
24198	24344	wash	sponge	pot																				
24348	24726	wash	hand	pot																				
24857	25002	wash	hand	lid																				
25042	25181	put in	hand	lid,pot	counter,drawer					The person washes the pot and the pot cover and returns them to the drawer.					He washes the pot and puts it away.		The man washes up while waiting for the potatoes to cook.							
25181	25542	stir	spatula	potato	pan																	The person gets a wooden spoon, puts the potatoes into the skillet, seasons it and stirs it while cooking over heat.		
25560	26242	add	spatula	potato	pan		He puts the fried potatoes in the bowl.		He finishes the cooking and puts them into a bowl.	The person stir fry the potatoes some more and moves them into a bowl.		He puts the potatoes in a bowl.	He stops cooking and adds the potatoes to a bowl.		He finishes cooking and puts the potatoes in a bowl.		He places the potatoes into a bowl.					The person gets a bowl and pours the cooked potatoes into it.		The man finishes cooking the potatoes and places them into a bowl.
26409	26709	wash	hand	pan																				
26773	26850	put in	hand	pan	,drawer																		Turn off heat and allow potatoes to cool slightly, take out serving bowl and wash the first pot, spoon the potatoes into the serving bowl and wash the frying pan.	
