194	353	take out	hand	cutting board	counter,drawer	The person got out a cutting board.	The person gets out a cutting board.	The person gets out a cutting board.	The woman removes a cutting board from the drawer and places it on the counter.		She gets a cutting board.	The woman removes a cutting board from the drawer and places it on the counter.	She gets a cutting board.	Get out cutting board 	The person gets out a cutting board.	The person removes the cutting board from the drawer.	Lady enters room and opens a drawer.  . Lady pulls out cutting board.  	The person gets a cutting board out of the drawer and sets it on the counter.	The person gets out a cutting board.	Get out cutting board.	The woman takes a cutting board from the drawer.			
3713	3752	shake	hand	chive		The person rinsed those herbs.	The person gets out some different herbs and rinses them.	The person rinses these herbs.				She rinses the herbs in the sink and places them on the cutting board.		Wash second herb 				The person took the herbs to the sink and rinsed them under running water.		Wash different type of herbs.	She retrieves and washes herb stems in the sink before placing them on the cuttingboard.	Girl cuts them into pieces.	Select more herbs to cut, wash them in the sink, and squeeze out any extra water.	
3805	4056	arrange	hand	chive	cutting board	The person folded the herbs together.			She fold the herbs into thirds and places them on the cutting board.							The person places the herb on the cutting board and folds it in half. 	Lady folds herbs.. Lady cuts second herb.	The person took the herbs over to the cutting board and folded the herbs into a uniform pile.			She folds the herbs together in a small bundle			
4072	4799	chop	knife	chive	cutting board								She chops those herbs. 											
4805	4886	scratch off	hand	chive	cutting board,knife	The person diced those herbs.			She finely cuts all of the new herbs.			She folds the herbs into thirds and cuts them up with the knife.		Chop second herb 	The person chops up the new herbs.	Holding the folded herb firmly the person slices the herb into little pieces.	Woman puts herbs on plate.	The person cut the herbs using a short cutting motion.	The person chops up the second batch of herbs.	Finely slice herbs on cutting board.	She chops them up into much smaller pieces.			
4952	5237	add	knife	chive	cutting board,plate		The person chops up the new herbs and puts them on the plate.	The person chops these herbs and adds them to the plate.		She then lifts the cutting board and uses the knife to swipe the herb onto the awaiting plate.. She carefully places it on the cutting board, gathers it into a nice pile, then uses the knife to dice it.. She retrieves another piece of herb and carefully rinses it under the sink. . She places the fresh diced herb from the cutting board onto the waiting plate.. She carefully lays the herb on its side, then uses the knife and finally dices the top of the herb off of the stem.. She retrieves a plate from the cabinet and a knife from the drawer to begin to prepare the herbs.. She gets some herbs from the refrigerator and carefully washes them in the sink before placing on cutting board.. The woman enters the kitchen and retrieves a cutting board from the drawer.	She chops those herbs and puts them on the plate. 		She puts those herbs on the plate. 		The person puts the new herbs on the plate in a separate pile.				The person scrapes the second herb onto the plate, separate from the first.					She chops those herbs and puts them on a plate.
5287	5334	scratch off	hand	chive	knife,plate									Plate second herb 						Place on dish with other herbs.		She places the chives in the same bowl.		
5340	5409	move	knife	chive	plate											The person places the freshly cut herbs on the plate.								
5418	5458	scratch off	hand	chive	knife,plate	The person put the herbs on the plate with the others.			She places the newly cut herbs onto the same plate as the other herbs, keeping them separate.			She places the cut herbs onto the plate.						The person lifted up the cutting board and, using the knife, scraped the herbs onto the plate being careful to not mix the two herbs.			She distributes the chopped herb stems to the plate.			
5632	5739	throw in garbage	hand	garbage			The person throws away the trash.	The person throws away the trash.	She places the stems into the recycling bin.	She discards of any scraps.		She places the herb stems into the recycling bin.			The person throws away the trash.			The person threw away the stems and other remnants into the trash.	The person throws away the stem from the first herb.					
5788	5969	put in	hand	plastic bag	counter,fridge		The person puts away some herbs she didn't use.		She returns the unused herbs to the refrigerator.	She puts the extra herbs that she removed from the refrigerator earlier back into the refrigerator.		She places the leftover herbs back in the refrigerator.			The person puts away the herbs she didn't use.	The person discards the waste and puts the remaining herbs in the fridge.	Lady cleans up.	The person replaced the remaining uncut herbs she had gotten from the refrigerator back into their spot.						
5986	6066	throw in garbage	hand	garbage		The person cleaned up.					She cleans up. 		She cleans up. 	Discard of unused parts like the stems 						Clean your work station.	She discards the extra stems and begins to put all of the materials away.		Slice the herbs into fine pieces with the knife and place the cut herbs on the plate, throw away any unwanted stems and put away the herbs.	She cleans up.
