s13-d22_13_2	The person takes out a peeler from the drawer.	286	2219
s13-d22_13_3	The person procures a plate from the cabinet and a pair of carrots from the fridge which he sets on the plate.	286	2219
s13-d22_13_4	The person procures a bowl from the cabinet.	286	2219
s13-d22_13_5	The person takes out a knife from the drawer.	286	2219
s13-d22_13_6	The person takes out a cutting board from the drawer.	286	2219
s13-d22_13_7	The person peels the carrots into the bowl with the peeler.	2299	3375	3368
s13-d22_13_8	The person chops the carrots on the cutting board.	3444	3881	3876
s13-d22_13_9	The person sets the chopped carrots on the plate.	4237	4484	4504
s13-d22_14_1	 The man enters the room and immediately retrives a cutting board from the cabinet.	286	689	687
s13-d22_14_2	 The man retrieves a knife from a drawer and places it on a cutting board.	736	958	1016
s13-d22_14_3	The man retireves a bowl and plate from the cabinet before getting a carrot.	996	1896	1911
s13-d22_14_4	 The man places the carrots on the cutting board and cuts off the ends of the two carrots.	1902	2219	2460
s13-d22_14_5	 The man uses a peeler and peels the skin of the carrots into a bowl.	2299	3851	3655
s13-d22_14_6	 The man thinly chops the carrots into pieces on the cutting board.	3851	4105	4163
s13-d22_14_7	 The man places the diced carrot pieces onto a plate.	4457	4544
s13-d22_14_8	The man places the knife on the cutting board and walks away.	4457	4544
s13-d22_15_1	The person gets out a cutting board.	286	689	693
s13-d22_15_2	The person gets out a knife.	736	958	933
s13-d22_15_3	The person gets out a bowl.	996	1163	1215
s13-d22_15_4	The person gets out a plate.	1180	1455	1436
s13-d22_15_5	The person gets out two carrots.	1468	1896	1818
s13-d22_15_6	The person gets out a vegetable peeler.	1902	2114	2118
s13-d22_15_7	The person cuts off the ends of the carrots and puts them in the bowl.	2114	2219	2506
s13-d22_15_8	The person peels the carrots.	2299	3375	3640
s13-d22_15_9	The person cuts up the carrots.	3444	4208	4214
s13-d22_15_10	The person puts the carrot slices on the plate.	4516	4544	4788
s13-d22_16_1	Take out a cutting board and knife and place them on the counter.	286	958	934
s13-d22_16_2	Take out a bowl, plate, and carrots. Place the carrots on the plate and place everything on the counter along with the cutting board and knife.	996	1896	1919
s13-d22_16_3	Cut off both ends of the carrots and place the ends in the bowl.	1902	2219	2484
s13-d22_16_4	Use a vegetable peeler to peel the carrots. While peeling the carrots, place the peeled parts in the bowl.	2299	3851	3666
s13-d22_16_5	Use the knife to chop the carrots horizontally on the cutting board.	3851	4208	4216
s13-d22_16_6	Place the chopped carrot pieces on the clean plate.	4516	4544	4836
s13-d22_17_1	The person takes a chopping board out of the drawer.	286	689	681
s13-d22_17_2	The person takes a knife out of the drawer.	736	958	906
s13-d22_17_3	The person takes a bowl out of the cupboard.	996	1163	1127
s13-d22_17_4	The person takes a plate out of the cupboard.	1180	1455	1419
s13-d22_17_5	The person takes two carrots out of the refrigerator and places them on the plate.	1468	1674	1730
s13-d22_17_6	The person takes a peeler out of the drawer.	1712	2077	2097
s13-d22_17_7	The person cuts off the tops and the ends of both carrots and puts them into the bowl.	2082	2219	2492
s13-d22_17_8	The person peels both carrots.	2299	3375	3587
s13-d22_17_9	The person chops the carrots into small pieces.	3444	4105	4150
s13-d22_17_10	The person transfers the chopped carrots onto the plate.	4516	4544	4750
s13-d22_18_1	Get a cutting board and knife.	286	689	704
s13-d22_18_2	Get a clean bowl.	736	958	950
s13-d22_18_3	Get a clean plate and place carrots on it.	996	1566	1566
s13-d22_18_4	Get a peeler.	1586	1896	1864
s13-d22_18_5	Cut off ends of carrots and place into bowl.	1902	2219	2266
s13-d22_18_6	Peel carrots over bowl. (to discard later)	2299	3375	3396
s13-d22_18_7	Cut carrots in pieces.	3444	3881	3956
s13-d22_18_8	Place carrot pieces on clean plate.	3960	4544	4578
s13-d22_19_1	He took out cutting board	286	443	428
s13-d22_19_2	He took out knife	443	644	644
s13-d22_19_3	He took out bowl	644	958	934
s13-d22_19_4	He took out plate	996	1455	1324
s13-d22_19_5	He took out carrot	1468	1566	1524
s13-d22_19_6	He took out peeler	1586	1896	1842
s13-d22_19_7	He chopped off ends of carrot	1902	2054	2052
s13-d22_19_8	He peeled carrots	2056	3375	3412
s13-d22_19_9	He chopped carrots	3444	4022	3994
s13-d22_19_10	He put carrots on plate	4516	4544	4578
