192	282	take out	hand	cutting board	counter,drawer				s28-d39_4_1		s28-d39_6_1		s28-d39_8_1				s28-d39_12_1	s28-d39_13_1. s28-d39_13_2	s28-d39_14_1		s28-d39_16_1			s28-d39_19_1	
15504	15555	screw	hand	spice shaker																					
15574	15579	screw	hand	spice shaker																					
15593	15701	spice	spice shaker	spice	pan																				
15703	15734	screw	hand	spice shaker																					
15756	15815	screw	hand	spice shaker																					
15832	15952	spice	spice shaker	salt	pan																				
15952	15986	screw	hand	spice shaker		s28-d39_1_9		s28-d39_3_9						s28-d39_9_8	s28-d39_10_7					s28-d39_15_5			s28-d39_18_11		
16034	16247	take out	hand	paper box	,cupboard																				s28-d39_20_11
16301	16411	move	paper box	salt	hand,paper box																				
16427	16676	add	hand	salt	hand,pan			s28-d39_3_10			s28-d39_6_12														
16703	16744	change temperature	hand	stove						s28-d39_5_11															
16777	17160	stir	spatula	leek	pan																				
17160	17191	tap	spatula	pan				s28-d39_3_11																	
17264	17368	take out	hand	glass	cupboard																				
17403	17454	fill	faucet	water	,glass																				
17495	17604	pour	glass	water	pan	s28-d39_1_10		s28-d39_3_12		s28-d39_5_12	s28-d39_6_13			s28-d39_9_9	s28-d39_10_8	s28-d39_11_8				s28-d39_15_6					
17664	17843	take out	hand	jar	,cupboard																				
17848	17903	screw	hand	jar																					
17952	18041	take out	hand	teaspoon	,drawer																				
18041	18181	stir	teaspoon	soup powder	jar																				
18181	18309	add	teaspoon	soup powder	jar,pan			s28-d39_3_13		s28-d39_5_13					s28-d39_10_9			s28-d39_13_11							s28-d39_20_12
18353	18595	stir	spatula	leek	pan																		s28-d39_18_12		
18604	18651	change temperature	hand	stove																					
18661	19015	stir	spatula	leek	pan																				
19128	19196	move	paper box	salt	hand,paper box																				
19196	19334	add	hand	salt	hand,pan			s28-d39_3_14																	
19351	19570	stir	spatula	leek	pan																				
19845	19895	taste	fork	leek																					
19895	19923	shake	hand	fork																					
20003	20096	stir	spatula	leek	pan		s28-d39_2_9																		s28-d39_20_13
20096	20125	tap	spatula	pan																					
20134	20184	change temperature	hand	stove																s28-d39_15_7			s28-d39_18_13		
20209	20436	move	hand	spice shaker	counter,spice holder																				
20485	20716	put in	hand	glass	counter,dish washer																				
20755	20793	move	hand	teaspoon	cutting board,plastic bottle																				
20802	20844	screw	hand	jar																					
20913	21077	put in	hand	jar,paper box	,cupboard																				
21077	21424	take out	hand	plate	counter,cupboard	s28-d39_1_11					s28-d39_6_14							s28-d39_13_12							
21451	21569	stir	spatula	leek	pan																				
21573	21678	change temperature	hand	stove																					
21782	22648	move	spatula	leek	pan,plate	s28-d39_1_12	s28-d39_2_10			s28-d39_5_14	s28-d39_6_15	s28-d39_7_6		s28-d39_9_10	s28-d39_10_10	s28-d39_11_9		s28-d39_13_13					s28-d39_18_14		
22694	22753	move	hand	pan,spatula	,sink			s28-d39_3_15												s28-d39_15_8					s28-d39_20_14
22823	22868	move	hand	counter,cutting board,knife																					
