160	238	open	hand		drawer																			
251	377	take out	hand	pan	drawer,stove	s26-d69_1_1			s26-d69_5_1	s26-d69_6_1	s26-d69_7_1	s26-d69_8_1		s26-d69_10_1			s26-d69_13_1	s26-d69_14_1	s26-d69_15_1	s26-d69_16_1. s26-d69_16_2	s26-d69_17_1		s26-d69_19_1	
7530	7595	change temperature	hand	stove		s26-d69_1_9	s26-d69_2_5	s26-d69_4_7														s26-d69_18_4		s26-d69_20_4
8085	8312	open egg	hand,pan	egg	pan											s26-d69_12_6	s26-d69_13_5. s26-d69_13_6				s26-d69_17_7			
8363	8581	open egg	hand,pan	egg	pan	s26-d69_1_10					s26-d69_7_11. s26-d69_7_12		s26-d69_9_8				s26-d69_13_7						s26-d69_19_7	
8666	8732	wash	hand	hand			s26-d69_2_6								s26-d69_11_6							s26-d69_18_5		
8767	8820	dry	towel	hand						s26-d69_6_8											s26-d69_17_8			s26-d69_20_5
8899	9428	stir	spatula	egg	pan	s26-d69_1_11							s26-d69_9_9			s26-d69_12_7								
9499	9556	screw	hand	spice shaker			s26-d69_2_7					s26-d69_8_6		s26-d69_10_4			s26-d69_13_8					s26-d69_18_6		
9581	9691	spice	spice shaker	salt	pan			s26-d69_4_8																
9694	9718	screw	hand	spice shaker																				
9762	9802	screw	hand	spice shaker												s26-d69_12_8	s26-d69_13_9							
9810	9955	spice	spice shaker	spice	pan																			
9955	9990	screw	hand	spice shaker												s26-d69_12_9								
10014	10048	screw	hand	spice shaker													s26-d69_13_10							
10057	10138	spice	spice shaker	spice	pan																			
10152	10198	screw	hand	spice shaker																				
10247	10313	screw	hand	spice shaker								s26-d69_8_7		s26-d69_10_5			s26-d69_13_11						s26-d69_19_8	
10335	10425	change temperature	hand	stove		s26-d69_1_12	s26-d69_2_8	s26-d69_4_9		s26-d69_6_9			s26-d69_9_10											s26-d69_20_6
10520	10957	stir	spatula	egg	pan										s26-d69_11_7									
11043	11105	change temperature	hand	stove								s26-d69_8_8		s26-d69_10_6			s26-d69_13_12							
11156	11254	throw in garbage	hand	egg shell																	s26-d69_17_9			
11263	11510	wash	hand	hand										s26-d69_10_7										
11531	11651	dry	towel	hand						s26-d69_6_10														
11732	11976	stir	spatula	egg	pan																			
12027	12086	change temperature	hand	stove				s26-d69_4_10						s26-d69_10_8							s26-d69_17_10	s26-d69_18_7		s26-d69_20_7
12163	12738	chop	chef knife	chive	cutting board																			
12832	12899	scratch off	hand	chive	chef knife,cutting board					s26-d69_6_11		s26-d69_8_9		s26-d69_10_9	s26-d69_11_8	s26-d69_12_10						s26-d69_18_8	s26-d69_19_9	s26-d69_20_8
13044	13533	stir	spatula	egg	pan			s26-d69_4_11																
14206	15218	stir	spatula	egg	pan									s26-d69_10_10							s26-d69_17_11			s26-d69_20_9
15329	15758	take out	hand	plate	counter,cupboard					s26-d69_6_12			s26-d69_9_11	s26-d69_10_11		s26-d69_12_11								
15924	16330	wash	hand	plate				s26-d69_4_12													s26-d69_17_12			
16419	17193	stir	spatula	egg	pan																			
17256	17304	change temperature	hand	stove																				
17311	17392	put in	hand	spice shaker	counter,spice holder																			
17472	17629	put in	hand	plastic box	counter,fridge							s26-d69_8_10												s26-d69_20_10
17728	18736	stir	spatula	egg	pan																			
18768	18811	change temperature	hand	stove			s26-d69_2_9															s26-d69_18_9		
19132	19175	move	hand	towel	,hook																s26-d69_17_13		s26-d69_19_10	
19273	19417	dry	towel	plate																			s26-d69_19_11	
19576	19657	hang up	hand	towel	,hook	s26-d69_1_13																		
19778	19925	stir	spatula	egg	pan																			
20015	20216	add	spatula	egg	pan,plate		s26-d69_2_10			s26-d69_6_13			s26-d69_9_12	s26-d69_10_12		s26-d69_12_12	s26-d69_13_13					s26-d69_18_10	s26-d69_19_12	s26-d69_20_11
20436	20538	add	hand	chive	cutting board,plate									s26-d69_10_13	s26-d69_11_9						s26-d69_17_14			
20543	20688	add	hand	chive	cutting board,plate																			
20717	20836	take out	hand	fork	drawer,plate									s26-d69_10_14	s26-d69_11_10								s26-d69_19_13	
20854	20896	move	hand	plate	counter,cutting board	s26-d69_1_14	s26-d69_2_11	s26-d69_4_13		s26-d69_6_14		s26-d69_8_11				s26-d69_12_13					s26-d69_17_15	s26-d69_18_11	s26-d69_19_14	s26-d69_20_12
