3989	4146	throw in garbage	knife	beans			s28-d51_2_7	s28-d51_3_7	s28-d51_4_8		s28-d51_6_7			s28-d51_9_4		s28-d51_11_8		s28-d51_13_7	s28-d51_14_4		s28-d51_16_4	s28-d51_17_8	s28-d51_18_5	s28-d51_19_7	s28-d51_20_7
4273	4395	take out	hand	pan	drawer,stove				s28-d51_4_9						s28-d51_10_6		s28-d51_12_5							s28-d51_19_8	
4402	4459	turn on	hand	stove																					
4467	4529	change temperature	hand	stove			s28-d51_2_8	s28-d51_3_8	s28-d51_4_10		s28-d51_6_8					s28-d51_11_9			s28-d51_14_5	s28-d51_15_5				s28-d51_19_9	s28-d51_20_8
4561	4805	take out	hand	bottle	,cupboard																				
4811	4842	screw	hand	bottle					s28-d51_4_11															s28-d51_19_10	
4892	4973	pour	bottle	oil	pan				s28-d51_4_12																
5007	5060	pour	bottle	oil	pan												s28-d51_12_6			s28-d51_15_6				s28-d51_19_11	
5070	5149	screw	hand	bottle									s28-d51_8_4												
5155	5186	put in	hand	bottle	,cupboard		s28-d51_2_9				s28-d51_6_9										s28-d51_16_5				
5186	5239	close	hand		cupboard	s28-d51_1_5		s28-d51_3_9	s28-d51_4_13							s28-d51_11_10		s28-d51_13_8	s28-d51_14_6						s28-d51_20_9
5259	5361	spread	pan	oil	pan																		s28-d51_18_6		
5410	5482	move	hand	beans	cutting board																				
5515	5704	take out	hand	spice shaker	counter,spice holder										s28-d51_10_7		s28-d51_12_7				s28-d51_16_6				
5746	6204	take out	hand	paper bag	cupboard																				
6582	6664	put in	hand	paper bag	,cupboard																				
6664	6895	take out	hand	paper bag	counter,cupboard		s28-d51_2_10	s28-d51_3_10											s28-d51_14_7	s28-d51_15_7			s28-d51_18_7		s28-d51_20_10
6900	7000	spread	pan	oil	pan																				
7007	7054	change temperature	hand	stove										s28-d51_9_5											
7135	7222	take out	hand	spatula	drawer				s28-d51_4_14										s28-d51_14_8	s28-d51_15_8				s28-d51_19_12	
7274	7558	add	spatula	beans	cutting board,pan	s28-d51_1_6	s28-d51_2_11	s28-d51_3_11	s28-d51_4_15				s28-d51_8_5		s28-d51_10_8		s28-d51_12_8				s28-d51_16_7			s28-d51_19_13	s28-d51_20_11
7566	8404	stir	spatula	beans	pan						s28-d51_6_10		s28-d51_8_6			s28-d51_11_11		s28-d51_13_9					s28-d51_18_8		
8414	8647	change temperature	hand	stove																s28-d51_15_9					
8688	8766	remove rubber band	hand	rubber band	paper bag														s28-d51_14_9						
8766	8988	open	hand	paper bag																					
8988	9085	take out	hand	teaspoon	,drawer																				
9186	9500	add	teaspoon	sugar	pan,paper bag										s28-d51_10_9										
9502	9808	add	teaspoon	sugar	pan,paper bag								s28-d51_8_7												
9881	9994	close	hand	paper bag																	s28-d51_16_8				
9994	10096	put rubber band	hand	rubber band	paper bag																				
10096	10253	put in	hand	paper bag	,cupboard		s28-d51_2_12									s28-d51_11_12		s28-d51_13_10							
10316	10349	change temperature	hand	stove							s28-d51_6_11														
10371	10502	shake	hand	pan																					
10760	10888	move	hand	spatula	counter,stove														s28-d51_14_10	s28-d51_15_10					
10908	11174	put in	hand	teaspoon	counter,dish washer																		s28-d51_18_9		
11195	11299	wash	hand	knife																					
11299	11333	shake	hand	knife				s28-d51_3_12										s28-d51_13_11							
11457	11601	put in	hand	cutting board	counter,drawer	s28-d51_1_7	s28-d51_2_13	s28-d51_3_13								s28-d51_11_13		s28-d51_13_12	s28-d51_14_11	s28-d51_15_11			s28-d51_18_10		s28-d51_20_12
11627	11787	flip	pan	beans	pan										s28-d51_10_10										
11788	11847	smell		beans	pan																				
11905	11938	screw	hand	spice shaker							s28-d51_6_12														
11945	12249	spice	spice shaker	salt	pan																				
12253	12270	screw	hand	spice shaker																					
12295	12346	screw	hand	spice shaker											s28-d51_10_11										
12352	12625	spice	spice shaker	pepper	pan																				
12625	12684	screw	hand	spice shaker									s28-d51_8_8								s28-d51_16_9				
12720	12835	change temperature	hand	stove		s28-d51_1_8																			
12841	12926	shake	pan	beans	pan																				
12926	13027	flip	pan	beans	pan			s28-d51_3_14			s28-d51_6_13														
13077	13660	stir	spatula	beans	pan																				
13680	13748	change temperature	hand	stove															s28-d51_14_12	s28-d51_15_12			s28-d51_18_11		
13850	13940	take out	hand	fork	counter,drawer																				
13940	13967	close	hand		drawer																				
13990	14288	take out	hand	plate	counter,cupboard		s28-d51_2_14	s28-d51_3_15			s28-d51_6_14					s28-d51_11_14		s28-d51_13_13	s28-d51_14_13	s28-d51_15_13					s28-d51_20_13
14337	14671	stir	spatula	beans	pan																				
14751	14793	shake	hand	fork																					
14831	15002	taste	fork	beans											s28-d51_10_12						s28-d51_16_10		s28-d51_18_12		
15048	15077	screw	hand	spice shaker																					
15083	15506	spice	spice shaker	salt	pan																				
15512	15592	screw	hand	spice shaker									s28-d51_8_9												
15620	16174	stir	spatula	beans	pan	s28-d51_1_9																			
16264	16329	shake	hand	fork																	s28-d51_16_11				
16449	16659	taste	fork	beans																					
16750	16789	screw	hand	spice shaker																					
16804	16939	spice	spice shaker	pepper	pan																				
16950	17044	screw	hand	spice shaker																					
17075	17325	stir	spatula	beans	pan																				
17342	17398	shake	pan	beans	pan																				
17398	17542	flip	pan	beans	pan																				
17542	17661	smell		beans	pan																				
17721	17806	shake	hand	fork																					
17844	17921	taste	fork	beans																					
18225	18292	screw	hand	spice shaker																					
18289	18413	spice	spice shaker	salt	pan																				
18414	18471	screw	hand	spice shaker																					
18475	18608	put in	hand	spice shaker	counter,spice holder														s28-d51_14_14				s28-d51_18_13		
18713	18793	change temperature	hand	stove											s28-d51_10_13		s28-d51_12_9			s28-d51_15_14	s28-d51_16_12				
18917	19520	move	spatula	beans	pan,plate	s28-d51_1_10	s28-d51_2_15				s28-d51_6_15		s28-d51_8_10	s28-d51_9_6		s28-d51_11_15	s28-d51_12_10	s28-d51_13_14	s28-d51_14_15	s28-d51_15_15	s28-d51_16_13		s28-d51_18_14		s28-d51_20_14
